,cycle index,p_a,p_b,p_c,q_a,q_b,q_c,r_a,r_b,r_c,s_a,s_b,s_c,t_a,t_b,t_c
73,73,1442.0073319492321,146.79164661848395,-0.0037821613738283485,-2527.7367480595512,224.0,-0.0003246750693552454,20681.128594394584,299.240888774211,-0.01214653541842149,-3750.8614086458897,313.0,-0.00045288856590770625,2000.0,483.0,-1.0
74,74,1947.1711241644143,144.50598344648137,-0.004841331827796366,-2591.8241330770293,222.0,-0.00045969682492985576,20472.79837040906,297.8080937991275,-0.012140984510028303,-6001.820370755815,322.8799013121778,-0.012337880876951753,2000.0,463.0,-1.0
75,75,2122.593188053937,146.5058927669707,-0.006453362701094166,-2335.7868473557087,225.0,-0.0003623747959063552,20989.401071968146,298.7327544699077,-0.012604417710796532,-3380.189571025176,313.0,-0.0003676073687009569,2000.0,487.0,-1.0
76,76,2000.0,153.0,-1.0,-2000.0,155.0,-1.0,1693.4443882613896,149.36700885066892,-0.003023074984980285,-2266.1849645223056,233.0,-0.00042269568070685173,20512.933162422345,299.2252410407894,-0.0120656392840497
77,77,2003.9832523306316,144.7760929790995,-0.003686821135304078,-2000.0,203.0,-1.0,2000.0,208.0,-1.0,-2232.948886290952,232.0,-0.0003252829428362313,20441.66605488321,298.1627200294856,-0.011940555042768485
78,78,1711.8953094169942,148.99578869600157,-0.00491123370213885,-2360.7984670528126,227.0,-0.00038850689374174033,20958.993028012155,298.53780788464076,-0.012717177016318469,-6136.762191887519,323.7885443707225,-0.011625628255889087,2000.0,468.0,-1.0
79,79,1611.782852580119,152.9737204288063,-0.0023375360272302175,-2000.0,210.0,-1.0,2000.0,212.0,-1.0,-3074.725201533984,233.0,-0.00033426033960406255,19547.07901788385,298.3104064773502,-0.013173424346938276
80,80,2000.0,158.0,-1.0,-2000.0,162.0,-1.0,1829.2927191052622,150.98788858668578,-0.0028292033724726063,-3045.767653252053,226.99999999986136,-0.00029262137022057736,18853.542919252348,298.95933893379294,-0.012267428008188681
81,81,2093.400101170815,147.0362764856618,-0.001926428201621619,-2759.359870423418,228.0,-0.0003684690521628082,20592.224268301376,299.2869239489905,-0.012474030105527969,-3939.2570344897886,313.0,-0.00036068776756149955,2000.0,499.0,-1.0
82,82,2236.312112272105,151.0801802973932,-0.0019192523314030408,-2481.803143153726,232.0,-0.00039006225211953537,20377.933237776855,298.10202953226644,-0.01196689856827115,-6124.135978039977,323.33089014644435,-0.0103142205410526,2000.0,462.0,-1.0
